Temperature (°C),Reference voltage (V),Coarse code,Fine code
-40.0,0.87906,0.01,0.006
-35.0,0.879839,0.01,0.006
-30.0,0.880659,0.01,0.006
-25.0,0.881519,0.01,0.006
-20.0,0.88242,0.01,0.006
-15.0,0.88336,0.01,0.006
-10.0,0.898613,0.01,0.007
-5.0,0.897416,0.01,0.007
0.0,0.89887,0.01,0.007
5.0,0.899523,0.01,0.007
10.0,0.900597,0.01,0.007
15.0,0.898415,0.01,0.007
20.0,0.90286,0.01,0.007
25.0,0.900903,0.01,0.007
30.0,0.90636,0.01,0.008
35.0,0.903547,0.01,0.007
40.0,0.904937,0.01,0.007
45.0,0.908344,0.01,0.008
50.0,0.909752,0.01,0.008
55.0,0.909367,0.01,0.007
60.0,0.910937,0.01,0.007
65.0,0.912594,0.01,0.007
70.0,0.0147436,0.01,0.009
75.0,0.0147451,0.01,0.009
80.0,0.0147478,0.01,0.009
85.0,0.0147532,0.01,0.009
90.0,0.0147616,0.01,0.009
95.0,0.0147764,0.01,0.009
100.0,0.0147993,0.01,0.009
105.0,0.0148344,0.01,0.009
110.0,0.929562,0.01,0.007
115.0,0.931661,0.01,0.007
120.0,0.933803,0.01,0.007
125.0,0.936112,0.01,0.007
